"c.1.split_size_training."|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"|"result"
35|0.959313176558417|0.954833893243748|0.958456973293769|0.959791511541325|0.962962962962963|0.956108266276518|0.959331052831623|0.962661737523105|0.958633776091082|0.958904109589041|0.96276991809382|0.963846440551621|0.962235649546828|0.964365256124722|0.959489872468117|0.957703927492447|0.962852897473997|0.955301071296638|0.957693747660052|0.958057395143488|0.958610495195861|0.956072351421189|0.957989497374344|0.965846492838781|0.953015168331483|0.956288343558282|0.964618249534451|0.955811362792425|0.957088122605364|0.960864703689899
36|0.958732805335556|0.957322175732218|0.953449709060681|0.961092715231788|0.963424771404821|0.955492037566354|0.959019856358259|0.962443252166735|0.961928934010152|0.959336099585062|0.958471760797342|0.962809917355372|0.966820663586728|0.961617829137433|0.957286432160804|0.959226565783943|0.964136780650542|0.955846279640229|0.955074875207987|0.958745874587459|0.958881578947368|0.95475300954753|0.957687473816506|0.961240310077519|0.954414784394251|0.960370994940978|0.963855421686747|0.953498114788437|0.958950486669488|0.960629921259843
37|0.956480605487228|0.958930276981853|0.955140186915888|0.963307013469577|0.963375057950858|0.955196304849885|0.959349593495935|0.961556276053729|0.964166268514095|0.956481048198409|0.962511715089035|0.959250585480094|0.96551724137931|0.962928202721727|0.954588457899716|0.955023923444976|0.962998102466793|0.959372114496768|0.957055214723926|0.959183673469388|0.95607476635514|0.957496496964035|0.960344003822265|0.963544070143055|0.953445065176909|0.96186844613918|0.967074317968015|0.950239234449761|0.958333333333333|0.959250585480094
38|0.956901254773595|0.958650707290533|0.9596174282678|0.961314255431903|0.961620469083156|0.954108858057631|0.956425813568671|0.961930294906166|0.963327859879584|0.958174904942966|0.964883846569422|0.963356346255975|0.965927528393726|0.966773847802787|0.957423580786026|0.958083832335329|0.965592572364828|0.954714970697922|0.957412398921833|0.957956359765833|0.960212201591512|0.959314775160599|0.964052287581699|0.963675213675214|0.953401178361007|0.957575757575758|0.963480128893663|0.947600661886376|0.957516339869281|0.961108151305274
39|0.953054662379421|0.95729764181007|0.955076923076923|0.963101938711695|0.961346633416459|0.954403497813866|0.954545454545454|0.962216624685139|0.964720974983964|0.958815958815959|0.963717377466582|0.963946869070209|0.968967701076631|0.967213114754098|0.956030150753769|0.951519069166128|0.964194373401535|0.955168119551681|0.955527318932656|0.960551033187226|0.959602237414543|0.952559300873908|0.963438101347017|0.965389369592089|0.954289292423294|0.958091553836235|0.962728995578016|0.950261780104712|0.960559796437659|0.961707470182046
40|0.960365853658537|0.96417445482866|0.962850644427597|0.964992389649924|0.961392884178652|0.957110609480813|0.959010054137664|0.961509433962264|0.965996908809892|0.956521739130435|0.954968944099379|0.964992389649924|0.968534151957022|0.969465648854962|0.949651432997676|0.949685534591195|0.967492260061919|0.956325301204819|0.957594448727834|0.960365853658537|0.963746223564955|0.957894736842105|0.962962962962963|0.966442953020134|0.950720242608036|0.960665658093797|0.964528301886793|0.950972762645914|0.958841463414634|0.96274217585693
41|0.960690316395014|0.958498023715415|0.960155490767736|0.961904761904762|0.958693563880884|0.962750716332378|0.959122632103689|0.961464354527938|0.967741935483871|0.959223300970874|0.959921798631476|0.969014084507042|0.966313763233879|0.971980676328502|0.952848722986248|0.948948948948949|0.96484375|0.961685823754789|0.959381044487428|0.959615384615385|0.95947219604147|0.949950932286555|0.963671128107075|0.96584440227704|0.957854406130268|0.963946869070209|0.964388835418672|0.94726368159204|0.960309777347531|0.963242224316682
42|0.965608465608466|0.957004160887656|0.96505376344086|0.968421052631579|0.963446475195822|0.963350785340314|0.955555555555556|0.959785522788204|0.969210174029451|0.962566844919786|0.954007884362681|0.970550576184379|0.965879265091864|0.972404730617608|0.950732356857523|0.942334739803094|0.96448087431694|0.967405475880052|0.959048877146631|0.966145833333333|0.961439588688946|0.947791164658634|0.958656330749354|0.975420439844761|0.959370904325033|0.959582790091265|0.967405475880052|0.94550408719346|0.955823293172691|0.97172236503856
43|0.964210526315789|0.955414012738854|0.959830866807611|0.974789915966387|0.962962962962963|0.966666666666667|0.965665236051502|0.960869565217391|0.968127490039841|0.964509394572025|0.954732510288066|0.969450101832994|0.962962962962963|0.971311475409836|0.945147679324895|0.941935483870968|0.966740576496674|0.9625|0.957230142566191|0.951417004048583|0.962962962962963|0.952380952380952|0.966067864271457|0.973843058350101|0.958250497017893|0.96734693877551|0.970212765957447|0.957805907172996|0.950749464668094|0.972868217054264
44|0.96078431372549|0.95609756097561|0.961165048543689|0.96039603960396|0.95852534562212|0.951923076923077|0.954773869346734|0.954314720812183|0.958139534883721|0.975124378109453|0.95049504950495|0.970588235294118|0.96551724137931|0.964824120603015|0.95|0.926829268292683|0.967032967032967|0.957746478873239|0.964601769911504|0.95609756097561|0.964824120603015|0.94300518134715|0.951923076923077|0.950980392156863|0.93719806763285|0.971428571428571|0.957446808510638|0.965853658536585|0.96039603960396|0.964601769911504
