,split_number,it_1,it_2,it_3,it_4,it_5,it_6,it_7,it_8,it_9,it_10,it_11,it_12,it_13,it_14,it_15,it_16,it_17,it_18,it_19,it_20,it_21,it_22,it_23,it_24,it_25,it_26,it_27,it_28,it_29,it_30
10,2200,0.897860314897,0.896161616162,0.886198547215,0.900565885206,0.886106623586,0.896130346232,0.899513776337,0.896831844029,0.889438943894,0.889523033021,0.892609228256,0.898291293735,0.896019496344,0.89593495935,0.892798690671,0.8926690968,0.903590157322,0.894758228362,0.888619854722,0.890510948905,0.894222945484,0.89225727161,0.892508143322,0.893737373737,0.881039382866,0.893790849673,0.894566098946,0.889893179951,0.892133008921,0.885006095083
11,2400,0.895184135977,0.892232614884,0.892420537897,0.895850284784,0.890427698574,0.889253486464,0.89646772229,0.895986895987,0.887973640857,0.887709269089,0.89520714866,0.891781936534,0.900565885206,0.892798690671,0.896551724138,0.892595606184,0.896383583909,0.897249190939,0.889246878776,0.889699918897,0.894736842105,0.888708367181,0.887993553586,0.896634615385,0.894822006472,0.895339329518,0.889434889435,0.887520525452,0.888343558282,0.895485969906
12,2600,0.897301651228,0.893927125506,0.887622149837,0.893512851897,0.88368269626,0.892784345699,0.90109002826,0.899509803922,0.889252145484,0.883169934641,0.890776699029,0.895315682281,0.894203486015,0.89619238477,0.901385493073,0.890499194847,0.898585858586,0.888888888889,0.898903775883,0.894460169834,0.89352989353,0.898256992298,0.896241830065,0.888710968775,0.894757903161,0.882853668423,0.8901453958,0.892394822006,0.89352989353,0.889523033021
13,2800,0.896886372827,0.89657980456,0.896045658377,0.895277207392,0.899513776337,0.903590157322,0.893668831169,0.896299308662,0.894088669951,0.888707704851,0.898585858586,0.889160554197,0.890599675851,0.898256992298,0.888074888075,0.894031668697,0.896275530637,0.892521454843,0.889434889435,0.904665314402,0.890522875817,0.893599673869,0.895144838841,0.886106623586,0.892755969243,0.883778234086,0.88419341731,0.893409275834,0.888343558282,0.897810218978
14,3000,0.9029165002,0.904510361642,0.898008939456,0.891056910569,0.901976603469,0.899466557243,0.898667743238,0.895799676898,0.903015484923,0.891242362525,0.88716904277,0.898503841488,0.897332255457,0.894050529747,0.888979259862,0.892755969243,0.899237254115,0.892220421394,0.899715793747,0.899306971056,0.888527257933,0.891339869281,0.898858075041,0.891760904685,0.897663174859,0.897644191714,0.893267651888,0.887713588283,0.898042414356,0.896915584416
15,3200,0.890675241158,0.884615384615,0.894758228362,0.889340927583,0.88716904277,0.886354378819,0.893772893773,0.89646772229,0.889428918591,0.894107952204,0.898058252427,0.892857142857,0.901329037455,0.896161616162,0.888708367181,0.888256806176,0.908212560386,0.903199675982,0.894480519481,0.895076674738,0.89696969697,0.894415002038,0.890422077922,0.892755969243,0.899475171579,0.890522875817,0.899475171579,0.88906948395,0.896383583909,0.897363083164
16,3400,0.902576489533,0.893790849673,0.892568659128,0.896245458216,0.891259745589,0.891517128874,0.889882161723,0.892609228256,0.888259109312,0.882904936761,0.902755267423,0.899067693555,0.902182700081,0.90499194847,0.897165991903,0.894439967768,0.895498392283,0.888439773646,0.897810218978,0.89593495935,0.899075190993,0.89552238806,0.898867313916,0.894203486015,0.885551948052,0.887980376124,0.900689096068,0.893203883495,0.89387755102,0.895655704425
17,3600,0.896662645758,0.895400895401,0.897218863362,0.90012131015,0.89756097561,0.894672631151,0.892985971944,0.898140662894,0.894779771615,0.900081234768,0.90012131015,0.901169826543,0.902024291498,0.899959497772,0.893479141353,0.893651435503,0.897135941912,0.895353535354,0.905767668562,0.897196261682,0.896103896104,0.890694839496,0.897257470323,0.892295280355,0.892133008921,0.897279740154,0.895993524889,0.895230330208,0.898421691623,0.9060104881
18,3800,0.899268887084,0.896130346232,0.887352582351,0.892944038929,0.894012944984,0.898140662894,0.902359641985,0.888707704851,0.891507517269,0.889885807504,0.901992679951,0.893219650832,0.893599673869,0.903094462541,0.903409090909,0.890056588521,0.90093004448,0.88960776385,0.894394800975,0.893425888118,0.89552238806,0.896860986547,0.897727272727,0.893274265002,0.898749495764,0.90093004448,0.904376012966,0.896214896215,0.894308943089,0.895765472313
19,4000,0.900726392252,0.90060851927,0.894822006472,0.897249190939,0.899274778405,0.896915584416,0.903487429035,0.89914945322,0.90113452188,0.903931901094,0.905339805825,0.892045454545,0.906199021207,0.89863234111,0.893548387097,0.908726981585,0.892307692308,0.895824888529,0.898785425101,0.89696969697,0.90081300813,0.900937627395,0.898538961039,0.898867313916,0.897218863362,0.895315682281,0.899432278994,0.900527811612,0.893790849673,0.889340927583
